Row ID,Postal Code,Quantity,Discount,Profit,Ship Mode_First Class,Ship Mode_Same Day,Ship Mode_Second Class,Ship Mode_Standard Class,Segment_Consumer,Segment_Corporate,Segment_Home Office,Region_Central,Region_East,Region_South,Region_West,Sales,Sales_Range
1.0,42420.0,2.0,0.0,1.1848173171194856,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8254035754881465,Above Average
6.0,90032.0,7.0,0.0,0.16924846304709573,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.5289554319422495,Below Average
24.0,19140.0,2.0,0.3,-0.37444801187348353,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.24904767508875236,Average
30.0,19140.0,3.0,0.2,0.21847081787693584,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.18669037074591766,Average
39.0,77041.0,3.0,0.32,-1.9112703726471472,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.4907921608853423,High
40.0,77041.0,3.0,0.3,-0.8531838303970135,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.6383293069517508,Above Average
52.0,47150.0,2.0,0.0,-0.2345970129755374,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.7966780557391158,Low
53.0,47150.0,1.0,0.0,0.27566274601214497,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.07060685794717934,Average
58.0,12180.0,5.0,0.1,-0.08633072787193201,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0055219234200092,Above Average
66.0,90004.0,4.0,0.0,0.46645846292847193,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.16419673403945098,Average
67.0,60610.0,5.0,0.3,-0.8557166065248025,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.6426734126981113,Above Average
74.0,38109.0,2.0,0.2,-0.2964417161121907,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.011346484547186304,Average
77.0,77041.0,3.0,0.6,-0.5387886395848049,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-1.5580067038617536,Low
79.0,77070.0,5.0,0.6,-0.8306329028599664,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.1535754632221085,Below Average
86.0,29203.0,2.0,0.0,0.8649634687875598,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9540308594952394,Above Average
94.0,55407.0,3.0,0.0,0.25519662822358086,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.4654514273972792,Average
97.0,10009.0,7.0,0.0,1.1343343498452987,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-0.015505812380878812,Average
105.0,80013.0,3.0,0.2,-0.4711721726163374,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.030945360986044945,Average
111.0,10035.0,2.0,0.0,0.05115297284182376,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.6373154552193572,Below Average
120.0,19805.0,3.0,0.0,0.321067923308798,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.55619332790509,Below Average
125.0,77041.0,3.0,0.3,-0.6321035634731916,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.609786019196836,High
129.0,90004.0,2.0,0.2,-0.6517255521894125,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.14828983154488537,Average
130.0,90004.0,3.0,0.0,0.6093368659018779,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.7419558012833216,Above Average
141.0,19140.0,2.0,0.2,0.03092315888284096,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.13534742853209422,Average
147.0,43055.0,4.0,0.2,0.12356084107015874,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-0.037363151182374175,Average
158.0,98115.0,2.0,0.2,1.5375430069458602,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.3436849627598428,High
174.0,90004.0,7.0,0.2,0.4272654018960921,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0635977021180159,Above Average
178.0,43055.0,7.0,0.3,-0.7251385896542788,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.20781335999184,Above Average
193.0,10035.0,3.0,0.2,1.3714339558869002,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.651746950184876,High
205.0,37064.0,7.0,0.2,0.006403382217829735,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.7600697558659838,Below Average
223.0,43017.0,4.0,0.2,0.3479924452331511,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.23501549617280082,Average
